省份:重庆 学院:公共卫生学院 专业:预防医学 信息:文理科：理科，2016年最高分：676，最低分：676，平均分：676；2015年最高分：672，最低分：669，平均分：670；2014年最高分：627，最低分：627，平均分：627
省份:重庆 学院:管理学院 专业:工商管理类 信息:文理科：理科，2016年最高分：669，最低分：665，平均分：667；2015年最高分：未知，最低分：未知，平均分：未知；2014年最高分：未知，最低分：未知，平均分：未知
省份:重庆 学院:光华口腔医学院 专业:口腔医学 信息:文理科：理科，2016年最高分：677，最低分：664，平均分：671；2015年最高分：674，最低分：673，平均分：674；2014年最高分：636，最低分：636，平均分：636
省份:重庆 学院:光华口腔医学院 专业:口腔医学（5+3） 信息:文理科：理科，2016年最高分：663，最低分：661，平均分：662；2015年最高分：未知，最低分：未知，平均分：未知；2014年最高分：未知，最低分：未知，平均分：未知
省份:重庆 学院:国际金融学院 专业:经济学类 信息:文理科：理科，2016年最高分：664，最低分：662，平均分：663；2015年最高分：673，最低分：670，平均分：672；2014年最高分：629，最低分：628，平均分：628
省份:重庆 学院:化学学院 专业:化学类 信息:文理科：理科，2016年最高分：660，最低分：647，平均分：654；2015年最高分：664，最低分：662，平均分：663；2014年最高分：616，最低分：613，平均分：615
省份:重庆 学院:环境科学与工程学院 专业:环境科学与工程类 信息:文理科：理科，2016年最高分：660，最低分：657，平均分：659；2015年最高分：661，最低分：661，平均分：661；2014年最高分：613，最低分：611，平均分：612
省份:重庆 学院:岭南学院 专业:经济学类 信息:文理科：理科，2016年最高分：673，最低分：666，平均分：670；2015年最高分：678，最低分：677，平均分：678；2014年最高分：635，最低分：635，平均分：635
省份:重庆 学院:旅游学院 专业:旅游管理类 信息:文理科：理科，2016年最高分：661，最低分：651，平均分：656；2015年最高分：667，最低分：667，平均分：667；2014年最高分：618，最低分：610，平均分：614
省份:重庆 学院:软件学院 专业:软件工程 信息:文理科：理科，2016年最高分：664，最低分：658，平均分：661；2015年最高分：666，最低分：656，平均分：662；2014年最高分：625，最低分：613，平均分：620
省份:重庆 学院:生命科学学院 专业:生物科学类 信息:文理科：理科，2016年最高分：653，最低分：653，平均分：653；2015年最高分：665，最低分：665，平均分：665；2014年最高分：620，最低分：615，平均分：618
省份:重庆 学院:数据科学与计算机学院 专业:计算机类 信息:文理科：理科，2016年最高分：667，最低分：663，平均分：665；2015年最高分：668，最低分：668，平均分：668；2014年最高分：625，最低分：625，平均分：625
省份:重庆 学院:数学学院（珠海） 专业:数学类 信息:文理科：理科，2016年最高分：672，最低分：661，平均分：666；2015年最高分：未知，最低分：未知，平均分：未知；2014年最高分：未知，最低分：未知，平均分：未知
省份:重庆 学院:物理学院（广州） 专业:光电信息科学与工程 信息:文理科：理科，2016年最高分：670，最低分：658，平均分：664；2015年最高分：667，最低分：666，平均分：667；2014年最高分：624，最低分：624，平均分：624
省份:重庆 学院:药学院 专业:药学 信息:文理科：理科，2016年最高分：657，最低分：657，平均分：657；2015年最高分：666，最低分：666，平均分：666；2014年最高分：640，最低分：640，平均分：640
省份:重庆 学院:医学院（深圳） 专业:临床医学 信息:文理科：理科，2016年最高分：678，最低分：672，平均分：676；2015年最高分：未知，最低分：未知，平均分：未知；2014年最高分：未知，最低分：未知，平均分：未知
省份:重庆 学院:哲学系（广州） 专业:逻辑学 信息:文理科：理科，2016年最高分：658，最低分：647，平均分：653；2015年最高分：660，最低分：660，平均分：660；2014年最高分：607，最低分：607，平均分：607
省份:重庆 学院:中法核工程与技术学院 专业:核工程类（中外合作办学）（核工程与核技术专业） 信息:文理科：理科，2016年最高分：660，最低分：660，平均分：660；2015年最高分：660，最低分：660，平均分：660；2014年最高分：624，最低分：614，平均分：618
省份:重庆 学院:中山医学院 专业:康复治疗学 信息:文理科：理科，2016年最高分：660，最低分：660，平均分：660；2015年最高分：672，最低分：666，平均分：669；2014年最高分：628，最低分：628，平均分：628
省份:重庆 学院:中山医学院 专业:临床医学（八年制） 信息:文理科：理科，2016年最高分：681，最低分：679，平均分：680；2015年最高分：678，最低分：677，平均分：678；2014年最高分：637，最低分：635，平均分：636
省份:广东 年份:2016 信息:理科（投档分）的最高分：668，最低分：603，平均分：621，重点线：508，均重差：113，录取人数：2773；文科（投档分）的最高分：619，最低分：577，平均分：588，重点线：514，均重差：74，录取人数：910
省份:广东 年份:2015 信息:理科（投档分）的最高分：680，最低分：641，平均分：654，重点线：577，均重差：77，录取人数：2805；文科（投档分）的最高分：668，最低分：615，平均分：627，重点线：573，均重差：54，录取人数：910
省份:广东 年份:2014 信息:理科（投档分）的最高分：672，最低分：615，平均分：635，重点线：560，均重差：75，录取人数：2819；文科（投档分）的最高分：656，最低分：622，平均分：631，重点线：579，均重差：52，录取人数：941
省份:广东 学院:传播与设计学院 专业:新闻传播学类 信息:文理科：文科，2016年最高分：597，最低分：586，平均分：591；2015年最高分：640，最低分：624，平均分：628；2014年最高分：643，最低分：626，平均分：631
省份:广东 学院:法学院 专业:法学 信息:文理科：文科，2016年最高分：608，最低分：587，平均分：592；2015年最高分：639，最低分：625，平均分：629；2014年最高分：641，最低分：629，平均分：632
省份:广东 学院:管理学院 专业:工商管理类 信息:文理科：文科，2016年最高分：609，最低分：595，平均分：600；2015年最高分：668，最低分：636，平均分：639；2014年最高分：646，最低分：637，平均分：639
省份:广东 学院:国际翻译学院 专业:外国语言文学类 信息:文理科：文科，2016年最高分：594，最低分：577，平均分：581；2015年最高分：635，最低分：615，平均分：620；2014年最高分：637，最低分：622，平均分：625
省份:广东 学院:国际关系学院 专业:国际政治 信息:文理科：文科，2016年最高分：587，最低分：580，平均分：584；2015年最高分：630，最低分：620，平均分：624；2014年最高分：632，最低分：622，平均分：625
省份:广东 学院:国际金融学院 专业:工商管理类 信息:文理科：文科，2016年最高分：599，最低分：590，平均分：594；2015年最高分：637，最低分：630，平均分：633；2014年最高分：638，最低分：634，平均分：636
省份:广东 学院:国际金融学院 专业:经济学类 信息:文理科：文科，2016年最高分：605，最低分：591，平均分：597；2015年最高分：640，最低分：631，平均分：635；2014年最高分：640，最低分：635，平均分：637
省份:广东 学院:历史学系（广州） 专业:历史学 信息:文理科：文科，2016年最高分：610，最低分：579，平均分：585；2015年最高分：631，最低分：618，平均分：622；2014年最高分：638，最低分：622，平均分：627
省份:广东 学院:历史学系（珠海） 专业:历史学 信息:文理科：文科，2016年最高分：583，最低分：577，平均分：579；2015年最高分：未知，最低分：未知，平均分：未知；2014年最高分：未知，最低分：未知，平均分：未知
省份:广东 学院:岭南学院 专业:经济学类 信息:文理科：文科，2016年最高分：619，最低分：604，平均分：608；2015年最高分：650，最低分：640，平均分：643；2014年最高分：656，最低分：640，平均分：645
省份:广东 学院:旅游学院 专业:旅游管理类 信息:文理科：文科，2016年最高分：592，最低分：578，平均分：582；2015年最高分：635，最低分：616，平均分：621；2014年最高分：637，最低分：622，平均分：627
